#JD      =     2455808.62793044                                                 
Wave   Flux
4359.9890  158378.5
4361.4653  161136.3
4362.9416  163690.1
4364.4180  166935.1
4365.8943  168850.1
4367.3706  169413.1
4368.8469  170482.1
4370.3232  171628.1
4371.7996  173257.2
4373.2759  173691.4
4374.7522  173934.2
4376.2285  174435.5
4377.7048  176474.6
4379.1812  177708.
4380.6575  177641.8
4382.1338  176410.
4383.6101  173656.7
4385.0865  172658.6
4386.5628  174006.7
4388.0391  175860.6
4389.5154  177582.4
4390.9917  177883.1
4392.4681  177877.2
4393.9444  177425.8
4395.4207  177460.
4396.8970  179540.4
4398.3734  180363.3
4399.8497  180113.9
4401.3260  180471.
4402.8023  179938.7
4404.2786  180301.5
4405.7550  181276.6
4407.2313  182022.4
4408.7076  182616.2
4410.1839  182875.3
4411.6603  183277.
4413.1366  181907.1
4414.6129  180469.8
4416.0892  178892.6
4417.5655  178269.2
4419.0419  179630.5
4420.5182  181470.6
4421.9945  182620.6
4423.4708  182202.9
4424.9471  182251.7
4426.4235  181998.3
4427.8998  181785.2
4429.3761  181935.2
4430.8524  181506.
4432.3288  181098.7
4433.8051  181657.4
4435.2814  181620.
4436.7577  181931.
4438.2340  182726.8
4439.7104  183450.5
4441.1867  182468.7
4442.6630  181355.
4444.1393  180889.3
4445.6157  181051.5
4447.0920  183063.
4448.5683  181805.7
4450.0446  182845.7
4451.5209  183886.
4452.9973  183818.7
4454.4736  183803.
4455.9499  184518.5
4457.4262  184157.2
4458.9026  184933.7
4460.3789  185627.1
4461.8552  185408.4
4463.3315  184981.4
4464.8078  185934.5
4466.2842  185278.7
4467.7605  183301.9
4469.2368  181800.4
4470.7131  181868.
4472.1894  183030.5
4473.6658  184167.1
4475.1421  184673.8
4476.6184  184256.2
4478.0947  182485.2
4479.5711  178881.7
4481.0474  174748.1
4482.5237  174851.
4484.0000  179784.5
4485.4763  184245.
4486.9527  185238.5
4488.4290  184764.
4489.9053  184525.1
4491.3816  184833.4
4492.8580  186110.9
4494.3343  187070.4
4495.8106  187886.4
4497.2869  187603.
4498.7632  186596.9
4500.2396  186130.8
4501.7159  186146.7
4503.1922  187059.
4504.6685  188753.1
4506.1449  188777.1
4507.6212  187227.5
4509.0975  186723.
4510.5738  187587.4
4512.0501  188552.1
4513.5265  188228.
4515.0028  187101.
4516.4791  186746.8
4517.9554  186915.4
4519.4318  186498.7
4520.9081  185646.5
4522.3844  185392.1
4523.8607  186091.6
4525.3370  186785.4
4526.8134  186409.1
4528.2897  185891.
4529.7660  186297.1
4531.2423  186844.7
4532.7186  186037.1
4534.1950  185286.1
4535.6713  186020.4
4537.1476  187887.8
4538.6239  188694.2
4540.1003  188452.
4541.5766  187896.1
4543.0529  187999.5
4544.5292  188489.5
4546.0055  187216.1
4547.4819  185642.2
4548.9582  182962.5
4550.4345  182074.1
4551.9108  183607.7
4553.3872  184079.4
4554.8635  183138.8
4556.3398  182239.6
4557.8161  183515.2
4559.2924  185318.1
4560.7688  186372.3
4562.2451  186925.4
4563.7214  186589.6
4565.1977  186503.
4566.6741  187345.3
4568.1504  187419.6
4569.6267  187433.7
4571.1030  187012.9
4572.5793  185420.9
4574.0557  185876.4
4575.5320  186563.6
4577.0083  186408.2
4578.4846  186170.8
4579.9609  185710.3
4581.4373  184812.5
4582.9136  183124.
4584.3899  183364.8
4585.8662  184676.5
4587.3426  184877.2
4588.8189  185090.3
4590.2952  185944.7
4591.7715  186488.8
4593.2478  187103.2
4594.7242  187988.9
4596.2005  188521.6
4597.6768  188839.5
4599.1531  189212.2
4600.6295  189615.5
4602.1058  189511.
4603.5821  189096.
4605.0584  189419.2
4606.5347  190139.
4608.0111  189917.8
4609.4874  189934.9
4610.9637  190671.8
4612.4400  190277.8
4613.9164  190147.1
4615.3927  188970.8
4616.8690  187697.4
4618.3453  187229.9
4619.8216  186921.5
4621.2980  187804.5
4622.7743  188823.6
4624.2506  189606.8
4625.7269  189042.9
4627.2032  187605.5
4628.6796  186758.3
4630.1559  187268.4
4631.6322  187375.3
4633.1085  187187.8
4634.5849  186625.6
4636.0612  186242.9
4637.5375  187432.
4639.0138  188674.7
4640.4901  189188.4
4641.9665  189291.8
4643.4428  190155.2
4644.9191  190297.5
4646.3954  189857.6
4647.8718  189696.
4649.3481  189611.2
4650.8244  189953.2
4652.3007  190003.5
4653.7770  190464.5
4655.2534  189734.9
4656.7297  189319.8
4658.2060  190171.2
4659.6823  190099.7
4661.1587  189984.4
4662.6350  189899.5
4664.1113  189109.5
4665.5876  188170.
4667.0639  187376.1
4668.5403  187320.9
4670.0166  187508.3
4671.4929  188015.
4672.9692  189044.1
4674.4455  189605.3
4675.9219  189728.5
4677.3982  190123.
4678.8745  189743.4
4680.3508  189482.8
4681.8272  190145.4
4683.3035  190327.
4684.7798  190544.
4686.2561  190857.9
4687.7324  191246.1
4689.2088  190857.
4690.6851  190071.3
4692.1614  190171.3
4693.6377  190938.5
4695.1141  190104.6
4696.5904  189979.2
4698.0667  190029.3
4699.5430  189674.6
4701.0193  189013.2
4702.4957  188234.8
4703.9720  187727.3
4705.4483  188421.2
4706.9246  188600.
4708.4010  189087.5
4709.8773  189275.4
4711.3536  189080.5
4712.8299  189424.
4714.3062  188898.7
4715.7826  189118.8
4717.2589  189378.4
4718.7352  189883.2
4720.2115  189946.4
4721.6878  189772.6
4723.1642  189747.4
4724.6405  189348.7
4726.1168  189080.1
4727.5931  188464.9
4729.0695  187841.9
4730.5458  187079.5
4732.0221  186550.
4733.4984  187031.7
4734.9747  187206.8
4736.4511  187056.8
4737.9274  186256.2
4739.4037  186432.7
4740.8800  186510.8
4742.3564  186535.8
4743.8327  186606.8
4745.3090  185975.2
4746.7853  186779.9
4748.2616  186745.
4749.7380  186978.4
4751.2143  187055.6
4752.6906  186783.2
4754.1669  186226.9
4755.6433  185905.
4757.1196  185882.8
4758.5959  186416.
4760.0722  185353.7
4761.5485  184730.3
4763.0249  184827.3
4764.5012  184528.5
4765.9775  184454.2
4767.4538  184891.6
4768.9302  185409.4
4770.4065  184881.1
4771.8828  185335.7
4773.3591  185448.2
4774.8354  185426.1
4776.3118  185919.8
4777.7881  185631.3
4779.2644  185704.5
4780.7407  185289.5
4782.2170  185376.
4783.6934  185209.8
4785.1697  184315.
4786.6460  184389.7
4788.1223  185155.5
4789.5987  184849.7
4791.0750  184579.5
4792.5513  184470.9
4794.0276  185132.5
4795.5039  184927.
4796.9803  184357.9
4798.4566  184161.7
4799.9329  183324.
4801.4092  183475.3
4802.8856  182961.8
4804.3619  182678.3
4805.8382  182156.4
4807.3145  181973.8
4808.7908  182147.
4810.2672  182124.5
4811.7435  181685.8
4813.2198  181683.2
4814.6961  182028.
4816.1725  181716.8
4817.6488  181179.6
4819.1251  180263.1
4820.6014  179344.
4822.0777  178269.7
4823.5541  176618.3
4825.0304  175524.5
4826.5067  176142.4
4827.9830  175645.6
4829.4593  175192.3
4830.9357  173943.
4832.4120  172793.5
4833.8883  171658.
4835.3646  170087.1
4836.8410  168184.3
4838.3173  166104.1
4839.7936  164171.3
4841.2699  162099.7
4842.7462  159883.8
4844.2226  155832.8
4845.6989  151691.4
4847.1752  146500.9
4848.6515  141578.
4850.1279  136214.4
4851.6042  130328.
4853.0805  122836.4
4854.5568  114392.4
4856.0331  105424.
4857.5095  95730.33
4858.9858  85979.8
4860.4621  77867.3
4861.9384  75447.19
4863.4148  80054.91
4864.8911  89665.05
